configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Vision-only LSTM,12,2,46,2,0.5850545005555029,0.8637316561844863,0.5536165605686532,0.5630141916906624,0.5566289093217893,0.8430584526782391
Vision-only LSTM,12,2,47,2,0.6027018365411985,0.8092243186582809,0.5214015614205144,0.5456088029617441,0.5296030079938612,0.8072557385240346
Vision-only LSTM,12,2,48,2,0.5843504649782091,0.8742138364779874,0.5546930177722937,0.5419323323735088,0.5324175635588746,0.8376748664528839
Vision-only LSTM,12,2,49,2,0.6382955073682716,0.6184486373165619,0.4674463923660802,0.4760129576306047,0.39655146701845273,0.6109642463436431
Vision-only LSTM,12,2,50,2,0.5011631271301027,0.6289308176100629,0.4916161542188222,0.5000514191690663,0.40650050451886405,0.6171399315911413
Vision-only LSTM,12,2,51,2,0.688052195902777,0.6624737945492662,0.4862196890293397,0.493675442204854,0.4363164399474123,0.6708444427932614
Vision-only LSTM,12,3,42,2,0.5432999596405829,0.6545842217484008,0.26060052749036317,0.3312856125356125,0.24136373570335834,0.7301925779940022
Vision-only LSTM,12,3,43,3,0.6073420934957029,0.7377398720682303,0.22935414323209596,0.2092681623931624,0.21672257631667227,0.782760754143692
Vision-only LSTM,12,3,44,9,0.6061566314607296,0.673773987206823,0.2722390776699029,0.3816773504273504,0.25752035174785604,0.7440344500375415
Vision-only LSTM,12,3,45,42,0.7729157709850455,0.5884861407249466,0.23240017663738205,0.2704650673400673,0.2006936107776444,0.6807723231438986
Vision-only LSTM,12,3,46,1,0.5606592301302736,0.6908315565031983,0.23007735204173413,0.20557336182336183,0.21146317420081678,0.7534727833462297
Vision-only LSTM,12,3,47,44,0.5971280771856288,0.5628997867803838,0.2621648460774578,0.2792913105413105,0.223365185927109,0.6705291811004956
Vision-only LSTM,12,3,48,6,0.5620560083124373,0.7782515991471215,0.23230769230769233,0.22026353276353275,0.22516025641025642,0.8073916133617627
Vision-only LSTM,12,3,49,15,0.5995154846889168,0.67590618336887,0.2676767676767677,0.3050011331261331,0.2547875788925399,0.7472847522511376
Vision-only LSTM,12,3,50,2,0.6070683083694186,0.8784648187633263,0.22939866369710468,0.23842592592592593,0.23382519863791146,0.8615137382650554
Vision-only LSTM,12,3,51,4,0.6140448152394165,0.8251599147121536,0.23492298578199053,0.23299501424501423,0.23357107373500816,0.8343449575928866
Vision-only LSTM,12,4,42,26,0.6528957855479647,0.8631732168850073,0.6980045871559633,0.6597647937541398,0.6755821597351378,0.8922782889002271
Vision-only LSTM,12,4,43,1,0.7025917166184079,0.6084425036390102,0.7066161616161617,0.5094299368492916,0.49653014428623377,0.5992242349365934
Vision-only LSTM,12,4,44,1,0.6277472253115672,0.9097525473071325,0.7040172963201274,0.6829663765147636,0.692987618210553,0.9212144503405562
Vision-only LSTM,12,4,45,12,0.6705789524960318,0.8719068413391557,0.6819768095244252,0.6526438976498166,0.6666048989104738,0.8873061082855992
Vision-only LSTM,12,4,46,1,0.6540865685704869,0.8238719068413392,0.6969734853850875,0.6370317914413801,0.6547165013984235,0.8629900172873801
Vision-only LSTM,12,4,47,8,0.7097308123386631,0.9170305676855895,0.703722403585459,0.6908602150537635,0.6971231533709374,0.9266782794392308
Vision-only LSTM,12,4,48,1,0.6427718445939837,0.5938864628820961,0.6977272727272728,0.5004693633725892,0.47411527955734156,0.5656184425677753
Vision-only LSTM,12,4,49,24,0.7940737351333914,0.8966521106259098,0.6901827147361872,0.6799474187754744,0.683573715644263,0.9079935022564145
